,"Country,Other",TotalCases,TotalRecovered
66,Cuba,"1,115,068","1,106,473"
67,Ecuador,"1,069,114","1,032,800"
68,UAE,"1,067,030","1,054,525"
69,Panama,"1,047,321","1,038,425"
70,Uruguay,"1,038,774","1,030,944"
71,Mongolia,"1,010,954","1,008,765"
72,Nepal,"1,003,396","991,322"
73,Belarus,"994,037","985,592"
74,Latvia,"978,261","971,406"
75,Saudi Arabia,"841,469","827,923"
76,Azerbaijan,"832,021","821,714"
78,Bahrain,"724,027","721,858"
79,Sri Lanka,"672,569","655,682"
80,Dominican Republic,"667,048","644,785"
81,Kuwait,"666,011","660,237"
82,Cyprus,"660,854","659,490"
83,Myanmar,"641,074","619,865"
84,Palestine,"621,008","615,445"
85,Moldova,"620,823","504,142"
86,Estonia,"619,419","524,990"
87,Venezuela,"552,695","546,537"
88,Egypt,"516,023","442,182"
89,Qatar,"514,524","513,687"
90,Libya,"507,266","500,829"
91,Ethiopia,"500,991","488,165"
92,R̩union,"486,588","418,572"
94,Armenia,"449,273","435,162"
95,Bosnia and Herzegovina,"403,053","379,084"
96,Oman,"399,449","384,669"
97,Zambia,"349,287","341,316"
98,North Macedonia,"348,374","337,068"
99,Kenya,"343,918","337,309"
100,Albania,"334,726","329,428"
101,Botswana,"330,176","327,049"
102,Luxembourg,"319,959","316,690"
103,Brunei ,"310,019","243,601"
104,Montenegro,"291,990","288,680"
105,Algeria,"271,852","183,061"
106,Nigeria,"266,675","259,953"
107,Zimbabwe,"265,693","258,888"
108,Uzbekistan,"253,662","241,486"
109,Mozambique,"233,417","228,805"
111,Afghanistan,"224,317","204,341"
114,Kyrgyzstan,"206,897","196,406"
116,El Salvador,"201,785","179,410"
117,Trinidad and Tobago,"191,496","187,078"
118,Maldives,"186,687","163,687"
119,Namibia,"171,998","167,099"
120,Ghana,"171,740","170,255"
121,Uganda,"171,729","100,431"
122,Jamaica,"155,860","103,032"
123,Cambodia,"138,938","135,881"
124,Rwanda,"133,194","131,647"
125,Cameroon,"125,090","122,807"
126,Malta,"119,434","117,948"
127,Barbados,"109,503","108,647"
128,Angola,"105,384","103,419"
129,Channel Islands,"101,717","101,321"
130,French Guiana,"98,041","11,254"
131,DRC,"97,697","84,489"
132,Senegal,"89,014","87,024"
133,Malawi,"88,835","85,651"
134,Ivory Coast,"88,338","87,497"
136,New Caledonia,"79,922","79,605"
138,Eswatini,"74,882","73,116"
139,Guyana,"73,385","72,013"
140,Belize,"70,782","70,085"
141,Fiji,"69,117","67,226"
142,Madagascar,"68,289","66,862"
143,Cabo Verde,"64,194","63,713"
144,Sudan,"63,993","58,876"
145,Mauritania,"63,715","62,471"
146,Bhutan,"62,691","61,564"
147,Syria,"57,689","54,524"
148,Burundi,"54,234","53,569"
149,Seychelles,"50,937","50,750"
150,Gabon,"48,992","48,674"
151,Andorra,"48,015","47,563"
152,Papua New Guinea,"46,864","43,982"
153,Cura̤ao,"45,986","44,720"
154,Aruba,"44,224","42,438"
156,Mauritius,"42,776","41,049"
158,Togo,"39,510","39,216"
159,Guinea,"38,563","37,757"
160,Bahamas,"38,084","36,366"
162,Lesotho,"34,790","25,980"
164,Haiti,"34,306","33,372"
165,Mali,"33,151","32,332"
166,Cayman Islands,"31,472","8,553"
167,Saint Lucia,"30,052","29,095"
168,Benin,"28,014","27,847"
169,Somalia,"27,334","13,182"
171,Congo,"25,375","24,006"
173,San Marino,"24,367","24,234"
174,Timor-Leste,"23,460","23,102"
175,Burkina Faso,"22,056","21,596"
176,Liechtenstein,"21,473","21,352"
177,Gibraltar,"20,550","16,579"
178,Grenada,"19,693","19,358"
179,Bermuda,"18,860","18,685"
180,Nicaragua,"18,491","4,225"
181,South Sudan,"18,368","18,115"
182,Tajikistan,"17,786","17,264"
183,Equatorial Guinea,"17,229","16,907"
184,Monaco,"16,858","15,992"
185,Tonga,"16,819","15,638"
186,Samoa,"16,775","1,605"
187,Marshall Islands,"16,098","16,079"
188,Dominica,"15,760","15,673"
189,Djibouti,"15,690","15,427"
190,CAR,"15,368","15,200"
191,Macao,"12,984","3,487"
192,Gambia,"12,626","12,189"
193,Saint Martin,"12,324","1,399"
194,Vanuatu,"12,019","11,976"
195,Greenland,"11,971","2,761"
196,Yemen,"11,945","9,124"
197,Caribbean Netherlands,"11,682","10,476"
198,Sint Maarten,"11,051","10,905"
199,Eritrea,"10,189","10,086"
200,Niger,"9,931","8,890"
201,St. Vincent Grenadines,"9,631","9,493"
202,Guinea-Bissau,"9,614","8,929"
203,Comoros,"9,109","8,939"
204,Antigua and Barbuda,"9,106","8,954"
205,Liberia,"8,090","7,783"
207,Chad,"7,701","4,874"
209,Cook Islands,"7,151","7,149"
210,Turks and Caicos,"6,630","6,576"
211,Saint Kitts and Nevis,"6,607","6,559"
212,Sao Tome and Principe,"6,589","6,509"
213,Palau,"6,160","6,089"
215,Nauru,"5,393","5,347"
216,Kiribati,"5,082","2,703"
217,Anguilla,"3,904","3,879"
218,Wallis and Futuna,"3,550",438
219,Saint Pierre Miquelon,"3,452","2,449"
221,Saint Helena,"2,166",2
222,Falkland Islands,"1,930","1,930"
223,Montserrat,"1,403","1,376"
224,Niue,823,823
225,Diamond Princess,712,699
227,Vatican City,29,29
228,Western Sahara,10,9
229,MS Zaandam,9,7
230,China,"503,302","379,053"
